Session ID,Start Date/Time,End Date/Time,Duration
637008704274446234,08/08/2019 14:13:47,08/08/2019 14:13:49,00:00:01.7895269
637008704724150119,08/08/2019 14:14:32,08/08/2019 14:14:51,00:00:19.0508178
637008705516056083,08/08/2019 14:15:51,08/08/2019 14:16:03,00:00:12.0010218
637008705669130402,08/08/2019 14:16:06,08/08/2019 14:16:23,737278.14:16:23.3165749
637008705862324672,08/08/2019 14:16:26,08/08/2019 14:17:17,00:00:51.0405371
637008709957108234,08/08/2019 14:23:15,08/08/2019 14:23:26,00:00:11.1687777
637008710099646000,08/08/2019 14:23:29,08/08/2019 14:23:41,00:00:11.7516595
637009535203793665,09/08/2019 13:18:40,09/08/2019 13:18:44,00:00:03.7902337
637009536561601872,09/08/2019 13:20:56,09/08/2019 13:21:08,00:00:11.9254374
637012057333605461,12/08/2019 11:22:13,12/08/2019 11:22:21,00:00:08.4739868
637012076380626817,12/08/2019 11:53:58,12/08/2019 11:54:00,00:00:02.7499652
637012076467552319,12/08/2019 11:54:06,12/08/2019 11:54:10,00:00:04.1397384
637015493997422720,16/08/2019 10:49:59,16/08/2019 10:50:34,00:00:34.6622010
637015499281136558,16/08/2019 10:58:48,16/08/2019 10:58:52,00:00:04.7114646
637015500331229315,16/08/2019 11:00:33,16/08/2019 11:00:44,00:00:11.8309058
637015664967144442,16/08/2019 15:34:56,16/08/2019 15:36:01,00:01:05.2565665
637015667402282434,16/08/2019 15:39:00,16/08/2019 15:39:23,00:00:23.2886364
637015668663560800,16/08/2019 15:41:06637015672263196023,16/08/2019 15:47:06,16/08/2019 15:47:09,737286.15:47:09.1597133
,16/08/2019 15:47:09,00:00:02.8506675
637015672392802208,16/08/2019 15:47:19,16/08/2019 15:47:49,00:00:30.3811764
637015674724154607,16/08/2019 15:51:12,16/08/2019 15:51:14,00:00:02.3131837
637015674829666692,16/08/2019 15:51:22,16/08/2019 15:51:28,00:00:05.3395586
637015676272776275,16/08/2019 15:53:47,16/08/2019 15:53:52,00:00:04.7517988
